de,1=的
lutll,1=垆
ndcnn,1=萘
qthnn,1=炔
ujiuu,1=蟮
uicrr,1=蓍
keukk,1=岢
syxuu,1=飧
yurww,1=俣
dvuaa,1=碓
gvsdd,1=刿
jtvnn,1=孓
ljyll,1=谰
qucqq,1=蕖
uabuu,1=痧
pwypp,2=霈
bujbb,1=钚
humdd,1=槲
jxjjj,2=铗
ddstt,1=绐
ysbyy,1=痈
gotnn,1=埚
jrqyy,1=狷
cuyvv,1=酢
hymhh,1=阍
uiiii,1=螫
qiqqq,2=欹
lirll,5=傈
huxgg,1=怙
ludll,4=渌
ystdd,1=壅
zicbb,2=赀
yibyy,3=癔
eecww,1=莪
ykdxx,1=潆
lbmuu,1=檩
luzll,1=逯
vodzz,1=浞
cobzz,1=痤
dzcee,1=蔸
vuyvv,3=翥
uucuu,1=菽
iidnn,1=鸱
heqmm,2=盍
jncjj,3=茭
qkhjj,1=黥
xmyxx,1=酰
ldbll,2=赉
ybyyy,1=霪
hechh,2=菏
zzyqq,1=诹
jucqq,1=苴
jkmgg,1=粳
zjmrr,1=糌
bczuu,1=趵
gevkk,1=舸
qsgii,1=蛩
limll,4=枥
micff,1=蘼
xyctt,1=蕈
ruyxx,1=襦
geyaa,1=膈
ductt,1=芏
fjtff,1=畈
vcvvv,1=笊
wwvww,1=艉
yuhaa,1=燠
ihmii,1=阊
yjyjj,1=厣
bbrbb,1=傧
lulnn,2=鸬
ndcnn,2=艿
nhfnn,1=攮
ffyff,1=酚
igytt,1=塍
dummm,1=椟
gucgg,2=菰
hdqhh,1=氦
povkk,1=笸
djbdd,1=疸
qljqq,1=镪
pitjj,1=圮
qryqq,2=醛
hzvhh,1=篌
kywaa,1=髡
xryyy,1=谖
jnrjj,2=徼
xiymm,1=醯
lmyaa,2=裣
vimvv,5=枳
bicbb,3=蓖
tnvaa,1=髫
viyvv,3=酯
tyrdd,1=暾
zicyy,1=訾
hrsnn,1=缳
qiuzz,1=碛
yijyy,3=镒
nunzz,1=孥
xxujj,2=硖
lidll,3=溧
dimdd,2=柢
hojyy,1=镬
ufmcc,1=糁
cypvv,1=皴
geiqq,1=虼
jbivv,1=卺
wuwjj,1=鋈
vijuu,1=帙
mzjmm,1=鍪
kejgg,1=锞
qucnn,1=蘧
dmvtt,2=簟
jugyy,1=鞫
pjdbb,1=泮
qbdqq,1=溱
svmtt,1=眭
gjtgg,1=坩
bibnn,1=嬖
jrxee,1=鄄
lsluu,1=砻
tjyee,1=郯
xieee,1=隰
bivbb,2=筚
quyjj,1=朐
jitaa,1=墼
kvztt,2=跬
qnxqq,1=愀
miymm,3=醚
gvyjj,1=鳜
hrcaa,1=萑
jpijj,1=蚧
irzee,1=遄
ghgxx,1=戆
jylhh,1=麇
ndluu,1=柰
zjzzz,1=趱
fhyff,3=鲂
xiixx,2=螅
yrtww,1=垸
igyii,2=裎
yityy,1=埸
vumvv,4=槠
xrrnn,1=儇
tdytt,2=肽
vipvv,1=卮
gjsgg,1=绀
hjgyy,1=顸
ucvxx,2=筲
lorgg,1=倮
ykynn,3=媵
baubb,1=岜
vjyvv,1=谵
bmybb,1=褊
xyyxx,3=鲟
yubyy,2=瘐
zejzz,1=帻
gvvmm,1=簋
tkmtt,1=梃
zrszz,1=缵
dyudd,1=礅
xiutt,1=屣
fzwaa,1=缶
iuedd,1=亍
ciznn,1=鹚
vvsvv,1=缒
ytydd,1=刖
uihuu,1=炻
svctt,1=荽
dgudd,1=磴
laull,1=砬
sijss,1=锶
tokdd,1=鼍
ykbyy,3=瘿
xmzxx,1=跣
jpbaa,1=疖
yazyy,1=迓
qlhcc,1=炝
lbkll,1=啉
xiuxx,2=硒
qidqq,6=汔
zzmaa,1=驺
guigg,2=蛄
yurqq,1=伛
fusyy,1=绂
jmgjj,1=鞯
xmhaa,1=燹
bigbb,2=髀
scsgg,1=缫
fuzff,2=跗
qsgjj,1=銎
ssdss,2=凇
cudqq,1=殂
sukss,1=嗉
yejxx,1=铘
yuuyy,2=饫
bobmm,1=檗
czizz,1=辏
pigbb,1=鼙
quwnn,1=璩
qrxww,1=悛
bwybb,1=褙
huhhh,1=煳
jmvjj,3=笕
uiyuu,2=鲥
lnuuu,1=尥
lqjvv,1=锍
mdwll,1=劢
uguii,1=嵊
rfirr,1=轫
xkupp,1=饧
yiryy,6=佾
hryww,1=鲩
yjyxx,1=谳
fflff,1=棼
gjcgg,1=苷
gujgg,3=觚
djcjj,1=萏
lqhll,1=熘
diydd,3=羝
huhnn,1=鹕
zvjcc,1=觜
kuegg,1=喾
npcmm,1=蘖
yjydd,3=剡
jumjj,3=椐
nhrxx,1=曩
aiwaa,1=瑷
ieuii,1=砗
keggg,1=髁
piibb,1=蚍
kymkk,1=阃
szdss,1=溲
pckbb,2=匏
rcmww,1=桡
ybqyy,2=狺
lmyll,2=鲢
nzraa,1=耨
bbunn,1=豳
gzshh,1=缑
kvxgg,2=愦
rsirr,1=蝾
fwmff,1=榧
qmbuu,1=搴
xudxx,1=洫
yaiyy,1=蚜
biczz,1=荸
gyunn,1=磙
litll,1=坜
tnimm,1=粜
yriyy,2=螈
eeivv,2=轭
tisdd,1=绨
gvgvv,1=庋
jyjpp,1=皲
viydd,1=胝
hudhh,3=滹
pijpp,1=铍
vulvv,1=麈
hjegg,2=邗
jxzjj,2=跏
jujjj,3=锔
yzizz,1=蝣
fuyff,7=鲋
xxmjj,1=柙
dsdnn,1=鸫
fusbb,1=罘
jkqjj,1=獍
pgupp,3=硼
ujbuu,1=疝
xplss,1=勰
colii,1=鹾
jshkk,2=扃
pobff,1=皤
ucduu,1=潲
sivss,1=笥
xicss,1=葸
fwyff,4=鲱
gjrgg,1=旰
thdtt,1=溏
ffrbb,1=偾
rudrr,1=溽
nirnn,2=伲
jiqdd,2=剞
vejvv,1=锗
kvxll,1=悝
mhdmm,1=漭
wubww,2=痦
gugyy,1=嘏
pjybb,1=袢
tayyy,1=鳎
zjirr,1=昝
fudff,2=滏
xpgjj,1=廨
huuyy,2=觳
jiegg,1=戢
jtmjj,2=桷
luvll,1=舻
fufee,1=郛
trvnn,1=彖
kfynn,1=裉
rucrr,2=蓐
wjyww,2=脘
libww,1=疠
mgvmm,1=艋
nnnnn,1=嬲
hrxee,1=郇
limll,5=粝
lnndd,1=鹩
sisaa,2=耜
ietii,1=坼
igtii,2=埕
jnjnn,1=鹪
lumll,2=栌
gaxxx,1=尜
gvbjj,1=宄
hzbhh,1=瘊
liwnn,1=嫠
mgimm,2=蠓
rudrr,2=洳
lptcc,1=埒
mjtmm,1=墁
tajtt,1=铊
lijll,1=锂
cuczz,1=蔟
dpzmm,1=蹀
mjcyy,1=颟
qujll,1=劬
bidbb,1=濞
hzeyy,1=鲎
hoiyy,1=蠖
kyxkk,1=悃
zckzz,1=唣
zfyrr,1=谮
bitaa,1=畀
pzdnn,1=裒
iajii,1=镲
dejcc,1=锝
pibee,3=郫
xmijj,1=蚬
fheff,2=邡
sokyy,1=嗍
mjill,1=螨
yumhh,1=阈
zezaa,1=赜
zoxvv,1=怍
ycyff,2=鳐
vhevv,2=鄣
gdehh,1=陔
yyqyy,1=狁
zafxx,1=拶
crruu,1=汆
vijdd,1=觯
jmjnn,1=鹣
fukww,1=呒
mujmm,1=钼
quuqq,4=磲
shyss,1=颡
jmfjj,1=搛
kvitt,1=蝰
mmmvv,1=眄
qmxjj,2=慊
qnjdd,1=劁
tmtww,1=畋
vyytt,1=肫
yjudd,1=崦
lwycc,1=酹
luvll,2=簏
pmybb,2=胼
izbpp,1=瘳
tijdd,1=锑
yuiyy,1=蝓
kvrtt,1=暌
yujaa,1=舁
ufyxx,1=诜
xlcxx,1=芗
yzavv,1=尢
fucff,4=菔
hjhhh,2=焓
lzcll,1=蒌
pwfaa,1=旆
zoyvv,1=胙
vfdvv,1=浈
ijvjj,1=觇
jmsjj,1=缣
npnyy,1=颞
vzudd,1=碡
dhydd,2=谠
sctjj,1=埽
kcmkk,1=栲
iozvv,1=踔
dnyvv,1=鲷
geygg,2=袼
ujcyy,1=芟
surmm,1=僳
qimqq,4=槭
xlydd,1=鲞
yziyy,1=蚴
fumff,3=桴
Karkk,1=佧
kvcgg,1=蒉
qkmjj,1=檠
xbxpp,1=囟
bnfbb,1=飑
fjhff,1=燔
rsqrr,1=狨
sujuu,1=觫
trttt,1=疃
fujnn,1=幞
xqdii,1=溴
zokzz,2=唑
eecvv,1=苊
hydnn,1=溷
pkypp,2=鲆
pzfkk,1=掊
bffvv,1=畚
cjmcc,1=骖
ifmqq,1=榇
dmbdd,2=癜
hzthh,1=堠
mcdee,1=泖
mwdmm,2=浼
qnuww,1=硗
vvraa,1=隹
gejkk,1=哿
jqrjj,1=僦
wweww,1=隈
bwukk,1=碚
sjuss,1=馓
hvudd,1=隳
ljsnn,1=罱
wuxww,3=怃
ziuzz,1=嵫
dzcdd,1=篼
dimjj,1=觌
gyikk,1=辊
livmm,1=篥
nctaa,1=垴
hdymm,1=醢
jiijj,1=虮
quyii,1=诎
uhsuu,1=绱
uituu,1=埘
zzeqq,1=陬
fuuyy,1=祓
jrjjj,1=锩
quiyy,2=蠼
sscss,1=菘
yitvv,1=圯
aajaa,1=锕
dgxgg,1=戥
hjigg,1=蚶
mzrmm,1=侔
tsugg,1=砼
gccmm,1=藁
goknn,1=呙
vivxx,1=絷
xbjtt,1=镡
wunww,3=牾
dirmm,1=籴
ndree,1=佴
mgcmm,2=瞢
mnmuu,2=杪
zerrr,1=昃
jqqaa,1=鬏
lwsll,1=缧
phpaa,1=耪
yafnn,1=揠
yrmyy,1=橼
crhpp,1=爨
nqqii,1=狃
voynn,1=诼
aikyy,1=嗌
pnkpp,1=嘌
qiiqq,2=蛴
qrtqq,1=畎
yuykk,1=雩
yugnn,1=鹆
zvczz,1=蕞
pcyff,1=脬
ijuyy,1=羼
xpsyy,1=缬
hrdxx,1=漶
ytkss,1=哕
rccww,1=荛
svyzz,1=谇
ijgtt,1=廛
irqii,1=氚
encee,1=蒽
qxyhh,1=袷
mgcww,1=甍
mbkdd,1=黾
tkhgg,1=烃
anjaa,1=铵
ihbkk,1=鬯
pjypp,1=襻
szkzz,1=嗾
xpzyy,1=躞
igmii,1=柽
gejaa,1=镉
gzzrr,1=遘
gxytt,1=诖
gyskk,1=绲
huugg,2=岵
bjjff,1=钣
hrzgg,1=逭
jtjnn,1=觖
kjckk,1=莰
iicuu,1=茌
dkbdd,1=疔
wutkk,1=圬
xiuqq,1=禊
idwii,1=虿
kukdd,1=刳
qqiqq,2=蝤
bihbb,1=秕
fgcff,1=葑
fukff,2=呋
gvgaa,1=匦
jldgg,2=豇
sejss,1=铯
uhtxx,1=垧
wwdyy,1=洧
qbkxx,1=吣
jqmjj,2=桕
khjkk,1=钪
wudww,1=浯
yubyy,3=窬
vitvv,2=埴
ihxuu,1=惝
gouxx,1=崞
ugumm,2=眚
hhydd,1=颃
koiuu,1=蛞
mojmm,1=镆
rucxx,1=薷
iscii,1=茺
hscgg,1=蕻
khmkk,2=闶
vhnvv,1=嫜
jmkzz,1=囝
lhcll,1=蒗
yziyy,2=蚰
bnypp,2=鳔
digdd,2=骶
kltgg,1=圹
mimww,1=敉
vftpp,1=畛
viivv,5=轵
viydd,2=黹
burff,1=晡
jmdqq,2=湔
mcmmm,1=瞀
ifibb,1=龀
hxfuu,1=砉
iivhh,1=篪
mjgmm,1=鞔
pirbb,2=仳
wjcww,2=芄
xmqaa,1=猃
xudxx,2=溆
zdtvv,1=甾
dzjdd,1=钭
dugii,1=髑
nojrr,1=锘
qxgkk,1=髂
wouww,1=硪
vudvv,4=潴
jmyjj,3=裥
kkhee,1=郐
lzbll,1=瘘
qiujj,3=屺
vfypp,2=胗
davdd,1=笪
ffybb,1=鲼
xnmhh,1=枵
bbgbb,1=髌
nkbyy,1=甯
qlygg,1=羟
qkyqq,1=鲭
uuyyy,1=腧
tnivv,1=龆
wwdww,3=沩
xpsuu,1=绁
ycuyy,1=崾
igiuu,1=蛏
qtkxx,1=悫
tadyy,1=溻
zgscc,2=罾
vuvyy,1=舳
dcxdd,1=忉
piibb,2=蜱
pumpp,1=氆
iajjj,1=锸
fjjff,3=钒
jxijj,1=蛱
jnbww,1=敫
jthjj,1=爝
vsvvv,1=舯
bmvbb,1=笾
gusgg,1=罟
ycjvv,1=铫
vizvv,3=踬
bivaa,1=箅
fusff,1=绋
nmtnn,1=埝
picbb,1=芘
svdaa,1=濉
xmmuu,1=籼
xrmxx,2=楦
xyrxx,1=曛
aoaee,2=聱
bounn,1=鹁
mhumm,1=硭
mccee,1=茆
ufynn,1=谂
tdhvv,1=炱
tujtt,1=钍
iauii,2=馇
fgkff,1=唪
klsgg,1=纩
gxmuu,1=栝
qmbyy,1=褰
xiuqq,2=饩
zizcc,1=趑
zucqq,1=菹
bmybb,2=鳊
ihyii,1=鲳
jifqq,2=掎
juull,1=屦
llcll,1=莨
fucff,5=莩
pitbb,2=埤
vsdii,1=螽
pwykk,1=醅
tnivv,2=蜩
yibtt,2=瘗
yzcyy,2=莸
bjbbb,2=癍
ddtll,1=埭
dkkdd,2=啶
gzgrr,1=鞲
rvmnn,1=枘
togii,1=庹
qpxee,1=郄
xkuxx,1=硎
xqxaa,1=髹
mummm,1=毪
dcqaa,1=氘
fubcc,1=赙
jidzz,1=洎
pfdpp,1=湓
yzaaa,3=卣
ciccc,2=茈
kkdhh,1=浍
lcmll,1=栳
gzvjj,1=笱
kemgg,2=骒
wfmuu,1=阌
vjfvv,1=搌
jizjj,1=跽
vafii,1=揸
xpdmm,1=渫
vuvee,3=邾
hrfnn,1=擐
jnkjj,2=噍
lumll,3=氇
xiwjj,1=觋
ybttt,1=堙
zyfzz,1=撙
ruyxx,2=颥
tnytt,1=鲦
gjbgg,1=疳
glmgg,1=桄
bozkk,1=踣
jubll,1=窭
qngqq,1=鞒
tenxx,1=慝
biybb,2=襞
ufuyy,1=矧
xyqxx,1=獯
ytdcc,1=瀹
ijcbb,1=蒇
cvmuu,1=榱
fufss,1=艴
jkdvv,2=刭
makmm,3=唛
ppcpp,1=苤
pojbb,1=钋
qbkqq,2=嗪
yhiyy,1=蛘
cjhcc,1=黪
hofhh,1=攉
nvjnn,1=钕
uuymm,1=毹
yaqyy,1=氩
fahtt,1=垡
kesgg,1=缂
tdmtt,1=骀
eejww,1=锇
hlyhh,2=鳇
woykk,1=肟
lobll,1=瘰
pdkpp,1=哌
qlivv,1=蜣
gerqq,1=仡
vzvll,1=籀
xpcaa,1=薤
vauvv,1=砟
bulww,1=瓿
jnrjj,3=僬
yuuyy,3=嵛
bmxbb,1=忭
iibxx,1=瘛
dsttt,1=垌
gcmuu,1=槔
nciww,1=蛲
qbjyy,2=锓
uednn,1=滠
tvhtt,1=煺
yibdd,1=劓
mikmm,2=嘧
pgipp,1=蟛
piebb,1=陴
pkrkk,1=俜
whiww,1=辋
ytrcc,1=龠
czyzz,1=腠
liill,5=轹
lvhll,1=稆
mcimm,2=蝥
pgtpp,1=堋
bwgyy,1=鞴
hsehh,1=黉
lkmll,2=柃
mjjmm,2=镘
yidyy,2=殪
bhcpp,1=蒡
gxygg,2=胍
jpgjj,1=骱
mammm,1=杩
nvexx,1=恧
qsgzz,1=跫
uakqq,1=唼
udyll,1=酾
dsutt,2=硐
hdyhh,1=胲
huhhh,2=烀
qummm,1=氍
vixvv,1=忮
kzckk,2=芤
yrvww,1=箢
vakvv,3=哳
liyll,3=鲡
qbmqq,1=檎
ysudd,1=饔
huhdd,1=戽
yauyy,2=砑
bgwpp,1=甏
dsqdd,1=氡
hojhh,1=钬
lltll,1=墚
qkckk,1=苘
xibxx,1=穸
gzjaa,1=觏
hzghh,1=骺
jmmjj,3=枧
lqnyy,1=鹨
mobmm,2=瘼
qimjj,2=桤
sjcmm,1=毵
xumyy,3=糈
igyii,3=酲
gzujj,1=岣
qmyqq,2=肷
erjee,1=铒
jmyjj,4=鲣
mzimm,1=蛑
xiyyy,1=裼
vzycc,2=酎
cvmmm,1=毳
dmtvv,1=坫
gjygg,2=酐
hajhh,1=铪
klbxx,1=贶
ufyuu,1=胂
zrzzz,1=躜
jiujj,5=嵴
jmzkk,1=趼
ltjcc,1=锊
lodll,2=泺
zevvv,1=舴
libll,2=疬
naynn,2=肭
wwdww,4=涠
xmxnn,1=鹇
xruxx,1=碹
zicmm,1=粢
iimdd,1=眵
hvihh,2=蟪
jtjdd,1=劂
licll,5=苈
szjss,1=锼
ycwvv,1=珧
ybkyy,2=吲
coyzz,1=脞
dgudd,2=嶝
hrjyy,1=锾
lnjll,1=钌
nitnn,1=坭
diudd,3=碲
dpguu,1=瓞
jlcjj,2=茳
lpzvv,1=躐
lzull,1=嵝
npett,1=陧
ueiii,1=厍
zzjee,1=鄹
aiuaa,1=砹
dyutt,1=砘
erenn,1=鸸
thitt,2=螗
tejtt,1=铽
zoevv,1=阼
antdd,1=埯
jbgaa,1=廑
uufll,1=摅
wucww,2=芴
bmcbb,1=苄
juynn,1=醵
ncuxx,1=硇
tuyyy,1=酴
tuttt,1=堍
xivxx,1=舾
xijee,1=舄
ccvcc,1=艚
kldii,1=夼
tcvgg,1=鼗
xmvxx,2=筅
dsydd,1=胨
fguff,2=砜
jiyqq,2=鲚
pidaa,1=淠
qkkqq,1=圊
wuzww,1=迕
dhcuu,1=菪
rryyy,1=朊
bwbjj,1=鐾
bidbb,2=滗
ijztt,1=躔
jkyqq,1=腈
kzvkk,1=筘
lmill,1=蠊
zevzz,1=箦
vuvmm,1=橥
gouhh,1=馘
jicgg,1=蕺
ljjll,1=镧
pmnbb,1=犏
vhrjj,1=仉
idbii,1=瘥
ggsgg,1=绠
hzmhh,1=糇
kdtjj,1=垲
xmcaa,1=莶
bfftt,1=坌
fjzff,2=蹯
fhjff,1=钫
jluaa,1=礓
Anfyy,1=揞
bijbb,1=铋
dsudd,1=岽
yuvaa,3=肀
qujnn,1=鸲
thytt,2=羰
iirjj,1=傺
gjdgg,2=澉
jkyjj,2=肼
nunrr,1=胬
nvxii,1=衄
pwjkk,1=锫
tdytt,3=酞
wuuww,1=鼯
igmii,2=枨
jbbjj,1=赆
mwmnn,1=鹛
mnmnn,1=鹋
xpmxx,1=榍
vybtt,1=窀
jrmdd,1=桊
jyfjj,1=捃
wgcvv,1=蕹
xlcxx,2=葙
yjsdd,1=罨
aijaa,1=锿
guygg,3=酤
goigg,2=蜾
jxfxx,1=恝
lizll,2=跞
uocyy,1=蒴
tjjyy,1=锬
ziytt,1=鲻
hhsxx,1=绗
hojhh,2=锪
pojkk,1=钷
qqvvv,1=巯
yrxmm,1=眢
hudhh,4=冱
xnixx,1=蛸
tmftt,1=掭
zhmqq,1=驵
bwgbb,1=庳
bicbb,4=萆
djbdd,2=瘅
dnjdd,1=铞
kzmqq,1=眍
soyww,1=羧
tjjdd,1=钽
bnbpp,1=瘭
izjuu,1=帱
ikfhh,1=搋
dmevv,1=阽
hunyy,1=鹱
jpyjj,3=鲒
piwbb,2=甓
qljqq,2=锖
ykcjj,1=蓥
dptvv,1=垤
ledll,1=泐
mdcmm,1=荬
njinn,1=蝻
tovzz,1=箨
vdbjj,1=瘵
jmyjj,5=谫
kaykk,1=胩
mfjmm,1=钔
xictt,1=蓰
zezvv,1=迮
icuaa,1=耖
jmzjj,1=踺
qmmvv,1=椠
aogaa,1=廒
keqkk,1=氪
nkenn,1=聍
qqbqq,1=赇
xmquu,1=氙
iaqii,1=猹
fwvff,1=篚
gungg,3=牿
ujtyy,1=埏
jxjjj,3=镓
kdjkk,1=锎
yivyy,1=舣
murmm,1=仫
xiuxx,3=鼷
vabvv,1=痄
ccicc,1=螬
liydd,2=鳢
ysyyy,1=鳙
dvjdd,1=镦
hjfgg,2=撖
jlraa,2=耩
jldaa,1=洚
lcjll,1=铑
lbmll,1=瞵
pnipp,1=螵
qxcqq,1=葜
yijyy,4=钇
jmmjj,4=楗
najnn,2=镎
ujjpp,1=钐
uiubb,1=贳
xqxnn,1=鸺
buynn,1=醭
ijmzz,1=骣
bwbnn,1=鹎
hckgg,1=嚆
hohaa,1=耠
hocdd,1=劐
junjj,1=犋
leyll,1=鳓
lmcww,1=蔹
waymm,2=腽
szmss,1=瞍
tpctt,1=萜
bizbb,3=舭
gajvv,1=钆
jxbyy,1=瘕
lhhll,1=稂
sayuu,1=脎
dkedd,1=耵
lbyll,3=膦
mwjmm,2=镅
ximxx,2=粞
lsbll,2=癃
xuyyy,3=醑
ybjyy,1=铟
vubvv,1=疰
ljdnn,1=漤
lclll,1=耢
nijnn,1=铌
bmubb,1=碥
crjcc,1=镩
yucyy,3=蓣
bacbb,2=菝
icxvv,1=怊
iyiii,2=蝽
fwjff,1=镄
ldjll,1=铼
lerll,1=仂
thuaa,1=耥
hlbhh,1=癀
nnynn,1=脲
qnsmm,1=缲
tdytt,4=鲐
yiyyy,6=酏
ffuff,1=鼢
gdygg,1=戤
mbmyy,1=鳘
mgumm,1=礞
shuss,1=磉
jmdnn,1=牮
pujpp,1=镨
xicjj,1=菥
zizaa,1=耔
miymm,4=脒
fuhff,1=稃
ghvgg,1=筻
kvktt,1=喹
kyykk,2=醌
lujll,1=镥
qqbjj,1=鼽
xrbxx,2=痃
zzyqq,2=鲰
drvdd,1=簖
momaa,1=耱
qmukk,1=岍
vubnn,1=瘃
vougg,1=禚
rujrr,1=铷
getaa,1=塥
pujnn,1=镤
qriqq,1=辁
uijuu,1=铈
sziss,1=螋
djbyy,1=赕
ffdgg,1=瀵
mbcmm,1=苠
pdcpp,1=蒎
ppqpp,1=氕
thjtt,2=铴
yzjyy,2=铕
eryee,1=鲕
ybcyy,3=茚
guygg,4=鲴
jivaa,1=彐
uiyii,1=鲺
dqjdd,1=铥
huihh,2=轷
lcjll,2=铹
vzccc,1=荮
zsyzz,1=腙
vejjj,1=喆
kdcjj,1=蒈
dibuu,1=的
lnvvv,1=了
vwzww,1=这
uvydd,1=说
vcemm,1=着
ddann,1=大
nwevv,1=那
movdd,1=么
detyy,1=地
modyy,2=没
kkryy,1=会
hrzbb,1=还
duvee,1=都
hohkk,1=和
uiruu,2=什
moavv,1=无
socee,1=些
xmavv,1=见
vhpnn,1=长
piypp,1=被
jishh,1=给
ishvv,1=种
jibaa,1=其
jnejj,1=觉
udbpp,1=色
ispaa,1=重
niknn,1=呢
pmrgg,1=便
sdtxx,1=思
qkldd,1=亲
jlgss,1=强
juaaa,2=车
xpjnn,1=解
uiryy,1=似
moagg,1=万
juaaa,3=且
gerkk,1=合
dogyy,1=度
lacll,1=落
vrrvv,1=传
difuu,1=提
neknn,1=哪
uomww,1=数
jidkk,1=奇
jixpp,2=系
xpmpp,1=血
yykbb,1=员
djkaa,1=石
eeekk,1=阿
nauaa,1=南
viyvv,4=识
ytpdd,1=乐
gzkpp,1=句
ijeaa,1=单
vcuyy,1=朝
yekvv,1=喝
jiqyy,1=期
lubdd,1=六
xpkuu,1=叶
jnmjj,1=校
cgerr,1=曾
lzyll,1=露
vumdd,1=术
ciegg,1=差
kekkk,1=呵
jtypp,1=角
nibnn,1=疑
dnyvv,2=调
ycsuu,1=约
dvzaa,1=追
ouxaa,1=区
furff,4=佛
piukk,1=否
wuyyy,1=恶
ifhxx,1=称
lqejj,1=陆
vamdd,1=查
qxubb,1=卡
vuuyy,1=属
lswaa,1=弄
cfppp,1=参
yeucc,1=射
jprjj,2=价
bihbb,2=秘
uzuee,1=熟
mummm,2=模
djgdd,1=弹
sirll,1=食
zhcgg,1=藏
vocvv,1=著
jklvv,1=劲
zakzz,2=咱
hekxx,1=吓
dzymm,1=读
kozuu,1=适
bdrbb,2=伯
nonnn,1=娜
puruu,1=暴
mormm,1=冒
vdfaa,1=择
uefjj,1=折
lusll,1=绿
pisss,1=罢
xleaa,1=降
xkumm,1=省
jrkjj,1=圈
llrll,1=俩
geemm,1=盖
pjtpp,1=番
igfcc,1=抢
ukudd,1=率
yicxx,1=艾
zdrzz,1=仔
qqrjj,1=仇
sebtt,1=塞
zafvv,1=扎
igimm,1=盛
vdrzz,2=侧
vjydd,1=颤
bwbyy,2=臂
wwzgg,1=遗
isdyy,1=涌
xqbbb,1=宿
pdzbb,1=迫
ogkee,1=嗯
dnpaa,1=鸟
pjybb,2=胖
bchbb,2=炮
yeyee,2=邪
vipvv,2=氏
phypp,1=膀
yiitt,1=蛇
lwgll,1=勒
yiumm,1=尾
boccc,1=薄
mjtll,1=埋
gxfuu,1=括
moyyy,1=脉
ugqnn,1=乘
gaann,1=夹
ucdkk,1=召
uhdpp,2=汤
xqzqq,1=臭
guxbb,1=贾
pkdmm,1=冯
mafmm,1=抹
qkrqq,3=倩
pomxx,1=繁
lcsgg,1=络
iaudd,1=刹
socuu,2=莎
bubtt,1=堡
humhh,2=核
jumjj,4=柜
yekyy,2=咽
bkubb,2=屏
vdupp,1=祭
zrbjj,1=赚
hdkhh,2=咳
bhupp,2=彭
bwull,1=勃
npfnn,1=摄
gakjj,1=咖
gaygg,1=胳
vcppp,1=爪
qmsqq,2=纤
gekgg,1=咯
vckii,1=嘲
pnmbb,1=朴
qnuaa,1=雀
tafuu,1=拓
yuucc,1=尉
yjypp,1=殷
yrbvv,1=宛
xpfdd,1=契
boadd,1=卜
qifvv,1=揭
bombb,1=柏
xtxdd,1=削
jypvv,1=龟
hhcvv,1=巷
ggyvv,1=颈
cafii,1=拆
zakvv,1=咋
lqull,2=碌
uiubb,2=匙
neknn,2=呐
xukyy,1=吁
zikvv,1=吱
ujudd,1=禅
cvdnn,1=衰
munll,1=姥
xicxx,1=茜
siizz,1=厕
wufdd,1=於
ycjyy,1=钥
svuuu,1=尿
tckdd,1=叨
boldd,1=剥
mgwmm,1=氓
qnujj,1=壳
podbb,1=泊
cuudd,1=卒
iheyy,2=裳
ciess,1=兹
pmhcc,1=扁
pgcpp,1=苹
zownn,1=琢
xiyxx,1=腊
nmmvv,1=粘
gzfjj,1=拘
dvxww,1=敦
uaixx,1=厦
wjcmm,1=蔓
ihduu,1=淌
uikxx,1=嘘
zgszz,1=综
hvett,1=堕
ookww,1=喔
hhkkk,1=吭
piuxx,1=辟
iutdd,1=畜
icsvv,1=绰
jtkjj,2=嚼
trfee,1=揣
uidvv,1=殖
cirss,1=伺
doeyy,1=隋
jxfjj,1=挟
ghfgg,2=扛
pafbb,1=扒
ucgxx,1=鞘
vljtt,1=幢
iccdd,1=剿
godnn,2=涡
dgddd,1=澄
uampp,1=杉
xrddd,2=券
fhrff,2=彷
iakii,1=喳
puyff,1=脯
vosjj,1=缴
jicrr,1=藉
waaaa,1=凹
ximxx,3=栖
yucww,1=蔚
scmxx,1=梢
leyll,2=肋
vyavv,1=屯
vydxx,1=淳
grmjj,1=矜
garjj,1=伽
uiuss,1=峙
bdkbb,1=呗
jkqjj,2=靓
ycrww,1=侥
bcdbb,1=瀑
veyvv,1=褚
iakii,2=嚓
daxdd,2=惮
dakdd,2=嗒
jxcjj,2=茄
igrii,1=晟
crfzz,1=攒
mgimm,3=蟒
lkmww,1=棱
jyvjj,1=筠
mqspp,1=缪
lohgg,1=烙
nndrr,1=溺
munvv,1=牟
tyytt,1=褪
dhjdd,1=铛
pjfbb,1=拌
vakmm,1=喋
cjfcc,1=掺
cemcc,1=栅
gukgg,3=呱
gvrgg,1=傀
diyaa,1=翟
nmivv,1=辗
phupp,1=磅
zofzz,1=撮
qirvv,2=伎
qizxx,1=蹊
tvxgg,1=忒
geihh,1=蛤
nqfyy,1=拗
bocff,1=蕃
lofcc,1=捋
bovcc,1=簿
yudoo,1=汩
jpmjj,2=楷
ikkyy,1=啜
kjmjj,1=槛
wjcww,3=莞
bidbb,3=泌
bcbdd,1=刨
tcuee,1=焘
mwmmm,3=糜
mfdww,1=汶
ddmll,1=棣
daurr,1=沓
nokrr,1=喏
